,city,company,country,date,description,expired,indeedApply,jobkey,jobtitle,latitude,longitude,origin,snippet,source,sponsored,state
0,San Jose,IBM,US,"Fri, 18 Mar 2016 03:06:02 GMT","Job Description  Energy Storage Science and Solutions group at IBM Research-Almaden is looking for long-term supplemental research scientists (Post-Doctoral Researchers) who will perform cutting edge research on next generation energy storage projects. The successful candidates will perform hands-on experiments and data analysis on energy storage devices including metal-air battery systems. Backgrounds on electrochemistry and/or metal-air batteries are plus but not required. The candidates must have proven written and oral communication skills with the ability to focus on project metrics. The candidate will interact with a large, technically diverse, distributed team across IBM and external partners.  Additional information The World is Our Laboratory: No matter where discovery takes place, IBM researchers push the boundaries of science, technology and business to make the world work better. Qualifications  null  Additional Information  null",false,false,c6b10d54a5e7598d,Research Scientists-Energy Storage Science and Solutions,37.337914,-121.89011,san+jose%2C+ca,Energy Storage Science and Solutions group at IBM Research-Almaden is looking for long-term supplemental research scientists (Post-Doctoral Researchers) who...,IBM,false,CA
1,San Jose,Adobe,US,"Wed, 23 Mar 2016 19:39:07 GMT","-  42897  Description  Our company  At Adobe, we’re changing the world. How? We give people the tools to bring their ideas to life and create content that makes life more fun and work more meaningful. We give businesses and organizations the power to truly engage their customers. We're the ones behind the gorgeously designed content that streams across your laptop, TV, phone, and tablet every day—and we’re the ones who harness the massive power of big data to help companies move from data to insight and insight to action by delivering content that people crave most.  We’re a company that understands that product innovation comes from people innovation, and that’s why we invest in  cultivating leaders  throughout the organization. If you’re passionate about leading from where you sit, join us.  The challenge  Adobe is looking for a Data Scientist who will be building the next generation of data driven products. As a Senior Scientist you will be involved of all aspects of the optimization and modeling process for Adobe's display media advertising platform. These include creating and reviewing high-level architectural changes, solving novel optimization and modeling problems, and mentoring others to improve their abilities to do the same. You will be hands-on, which means you will be writing code in python to implement many of these solutions and setting an example for the team in terms of your ability to produce production-quality software.  Ideal candidates will have a strong academic background as well as technical skills including applied statistics, machine learning, data mining, and software development. Familiarity working with large-scale datasets and big data techniques would be a plus.  What you’ll do  Develop predictive models on large-scale datasets to address various business problems through leveraging advanced statistical modeling, machine learning, or data mining techniques.  Develop and implement scalable and efficient modeling algorithms that can work with large-scale data in production systems  Collaborate with product management and engineering groups to develop new products and features.  What you need to succeed  PhD or MS degree in Computer Science, Statistics, Electrical Engineering, Applied Math, Operations Research, Econometrics, or other related fields.  Deep understanding of statistical modeling, machine learning, or data mining concepts, and a track record of solving problems with these methods.  Proficient in one or more programming languages such as Python, Java and C  Familiar with one or more machine learning or statistical modeling tools such as R, Matlab and scikit learn  Knowledge and experience of working with relational databases and SQL  Strong analytical and quantitative problem solving ability.  Excellent communication, relationship skills and a strong team player.  Preferred Qualifications  Experience with big data techniques (such as Hadoop, MapReduce, Spark)  Knowledge of experimental design, ANOVA, statistical inference, and multivariate testing  Knowledge of numerical or combinatorial optimization  Making our technology accessible to all  We believe everyone should have equal access to technology and its benefits. To help achieve this, Adobe is focused on making software more accessible for everyone. When we hire for engineering, development and design roles, we look for the following accessibility skills:  Base knowledge of the W3C’s Web Content Accessibility Guidelines v2.0  Exposure to current tools used by people with disabilities (screen readers and other assistive technologies)  Experience with accessibility evaluation and validation software  Understanding of input and output modes used by people with disabilities  Familiarity with compliance requirements - state, Federal, international  Making our technology accessible to all  We believe everyone should have equal access to technology and its benefits. To help achieve this, Adobe is focused on making software more accessible for everyone. When we hire for engineering, development and design roles, we look for the following accessibility skills:  Base knowledge of the W3C’s Web Content Accessibility Guidelines v2.0  Exposure to current tools used by people with disabilities (screen readers and other assistive technologies)  Experience with accessibility evaluation and validation software  Understanding of input and output modes used by people with disabilities  Familiarity with compliance requirements - state, Federal, international  At Adobe, you will be immersed in an exceptional work environment that is recognized throughout the world on  Best Companies lists  . You will also be surrounded by colleagues who are committed to helping each other grow through our unique  Check-In  approach where ongoing feedback flows freely.  If you’re looking to grow your career  , Adobe’s the place for you.  Discover what our employees are saying about their career experiences through the  Adobe Life magazine  .  Adobe is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of race, gender, sexual orientation, gender identity, disability or veteran status.  Job  Other  Primary Location  Americas-USW-San Jose (Headquarters)  Schedule  Full-time",false,false,e1753bdd98101a6a,Data Scientist,37.337914,-121.89011,san+jose%2C+ca,"Deep understanding of statistical modeling, machine learning, or data mining concepts, and a track record of solving problems with these methods....",Adobe,false,CA
2,Palo Alto,Insync Consulting Services,US,"Mon, 21 Mar 2016 21:16:01 GMT","As our company's first data scientist, you’ll leverage the terabytes of diverse data our systems generate to directly improve our algorithms and buying strategies. You'll also heavily influence our product roadmap. To do so, you'll collaborate with the founders and the product team on ideas, and with the engineering team to create great analysis tooling and make our data sets accessible.Benefits: Medical InsuranceDental InsuranceVision InsuranceEquityRequirements: 5+ years data science experienceDegree in physics, statistics, math, or engineeringExperience coding in Python, R, or Clojure to perform data analysisHighly Intelligent Individual (Please provide GPA)Please list the top 3 companies candidate has worked for.Preferred: PhD in physics, statistics, math, engineering, or similarAbout the Client: We have created a very thoughtful, quiet environment where engineers can do their best work. Because there is no middle management, our engineers enjoy a large amount of autonomy, as well as consistent collaboration with teammates. We work in the office every day except Thursday (for those who commute) to encourage such collaboration.Additional perks include:Lunch daily and dinner twice a weekEndless snacks of your choosing30-minute onsite massages twice a monthQuarterly off-sites (SF, Tahoe)Unlimited vacation policySignificant early-stage startup equityHealth, dental, and visionCasual dressSurprises!Job Type: Full-timeSalary: $160,000.00 /yearRequired experience:Coding in Python, R, or Clojure to perform data analysis; Data Scientist experience: 5 yearsRequired education:Bachelor's",false,true,c584e9cc43bcb0fa,Data Scientist,37.43956,-122.14286,san+jose%2C+ca,"Data Scientist experience:. Coding in Python, R, or Clojure to perform data analysis; Experience coding in Python, R, or Clojure to perform data analysis....",Indeed,false,CA
3,Palo Alto,Genesis Global Management Coporation,US,"Fri, 18 Mar 2016 17:09:03 GMT","Must-Haves5+ years data science experienceDegree in physics, statistics, math, or engineeringExperience coding in Python, R, or Clojure to perform data analysisHighly Intelligent Individual (Please provide GPA)Please list the top 3 companies candidate has worked for.Description Of DutiesAs our client company's first data scientist, you’ll leverage the terabytes of diverse data their systems generate to directly improve their algorithms and buying strategies. You'll also heavily influence their product road-map. To do so, you'll collaborate with the founders and the product team on ideas, and with the engineering team to create great analysis tooling and make their data sets accessible.Nice-To-HavesPhD in physics, statistics, math, engineering, or similarMore InformationRelocation Not offeredDirect Reports ZeroReports To Head of ProductRemote Work Up to 20% of the timeTravel not requiredCandidate visas are supportedJob Type: Full-timeSalary: $150,000.00 /yearRequired experience:5+ years data science experience. Experience coding in Python, R, or Clojure to perform data analysi: 5 yearsRequired education:Doctorate",false,true,b96e8049255fb8bc,Data Scientist,37.43956,-122.14286,san+jose%2C+ca,"Experience coding in Python, R, or Clojure to perform data analysis. As our client company's first data scientist, you’ll leverage the terabytes of diverse data...",Indeed,false,CA
4,Sunnyvale,T&M Consulting Inc (A Michigan Based Company),US,"Sat, 19 Mar 2016 10:33:39 GMT","T&M; Consulting Inc (A Michigan Based Company)Job Description:Candidate should have a strong background and hands on experience in machine learning and information retrieval. - Candidate should have worked on different algorithms and libraries like Time Series, Regression, EWMA, Topic Modeling, LDA, NLP Libraries, ALS, Matric Factorization, Collaborative Filtering, Regression, Random Forest - Strong experience with Big Data (min 2 years of hands-on experience working on TB to PB scale datasets) - Dataset experience in document, graph, log data, and semi-structured data - Strength in Machine Learning, Statistical Modeling, Data Mining, Pattern Recognition, Information Retrieval, Natural Language Processing, or Search Ranking - Experience using all these ML techniques: clustering, regression, classification, graphical models, mixture models, topic models, and matrix factorization - Self driven individual who can take a high-level problem and see it to completion - Knowledge of distributed computing solutions and ability to leverage them towards gaining faster insights from data. - Excellent communication and team promotion skills.Looking forward to hear from you.Job Type: Full-time",false,true,1bcf0b3d646b66ff,Data Scientist,37.368134,-122.03297,san+jose%2C+ca,"Candidate should have worked on different algorithms and libraries like Time Series, Regression, EWMA, Topic Modeling, LDA, NLP Libraries, ALS, Matric...",Indeed,false,CA
5,Mountain View,Siemens,US,"Wed, 23 Mar 2016 02:48:55 GMT",- Data Scientist - Mountain View CA 94039,false,false,427a5ff54bd52e84,Data Scientist,37.384617,-122.08242,san+jose%2C+ca,- Data Scientist - Mountain View CA...,American Society of Mechanical Engineers,false,CA
6,San Jose,Pull Skill Technologies Inc,US,"Tue, 01 Mar 2016 15:19:46 GMT","Position : Data Scientist – ModellerLocation : San Jose, CADuration: Fulltime / Permanent1)Data Scientist –* *ModellerFluent in Python.HADOOP, Java, Python , HIVE/PIG for extracting and parsing data.Visualization Skills - JavaScript (especially D3.js).The person should have some knowledge of Stats & Machine Learning.Position : Data Scientist – Software Engineer (SWE)ModellerLocation : San Jose, CADuration: Fulltime / Permanent2) Data Scientist – Software Engineer (SWE)Statistical/data modeling/data mining and machine learningProficiency in SQL and dealing with petabytes of log files and other unstructured data.Python/R/Java/Scala/C/C++, Spark, Hadoop, Hive, Hbase, text/NLP, GPUsPeople with Computer Science backgroundEducation : MS / PhD in Engineering, mathematics, computer science, statistics,operations research etcJob Responsibilities: Develop predictive models and provide statistical insights using Big Data tools and MachineLearning.Analyze petabytes of real-world performance data to understand patterns and trends.Transform these insights into actionable reports, targeting algorithms, and personalizationfactors.Provide technical expertise in statistical analysis, data mining, machine learning, NLP, andInformation Retrieval.Design and deliver scalable software applications in Hadoop and in real-time platforms.Estimate engineering effort, plan implementations, and roll out applications with cross-functionalimpact.Work jointly with other team members to deliver complex applications.Conceptualizing, coding, deploying, and iterating on next generation prototypes.Knowledge, Skills and Experience: Strong statistical/data modeling/data mining and machine learning expertise.Excellent understanding of computer science fundamentals, data structures, and algorithms.Successful research track record, focused on applied machine learning, information retrieval orstatistical modeling. (optional)Familiarity with predictive models/search/recommendation/classification applications anddomains will be a plus.Proficiency in SQL and dealing with petabytes of log files and other unstructured data.Experience in Python/R/Java/Scala.Experience in Hadoop, Hive, Hbase will be a plus.Solid verbal and written communication skills.RegardsSyed2019-497-1010 x101Job Type: Full-timeSalary: $115,000.00 /yearRequired experience:Data Scientist: 2 yearsRequired education:Doctorate",false,true,1f2583f9877e177f,Data Scientist,37.337914,-121.89011,san+jose%2C+ca,"Provide technical expertise in statistical analysis, data mining, machine learning, NLP, and. Develop predictive models and provide statistical insights using...",Indeed,false,CA
7,Menlo Park,Facebook,US,"Tue, 15 Mar 2016 23:11:36 GMT","Facebook was built to help people connect and share, and over the last decade our tools have played a critical part in changing how people around the world communicate with one another. With over a billion people using the service and more than fifty offices around the globe, a career at Facebook offers countless ways to make an impact in a fast growing organization.   The internet is essential to growing the knowledge we have and sharing it with each other. And for many of us, it’s a huge part of our everyday lives. But most of the world does not have access to the internet. Internet.org is a Facebook-led initiative with the goal of bringing internet access and the benefits of connectivity to the two-thirds of the world that doesn‘t have them. Check out info.internet.org for examples of our projects and impact. We’re looking for data scientists to work on internet.org to help shape the future of bringing people online at Facebook. You will enjoy working with one of the richest data sets in the world, cutting edge technology, and the ability to see your insights turned into real products that impact on real people on a regular basis. The internet.org initiative tackles unique challenges within Facebook and Silicon Valley. Passion to serve and empathy for new internet users in developing countries will be required, and some travel should be expected. This position is located in our Menlo Park office.  Responsibilities Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products  Partner with Product, Engineering, and Mobile Operator Partnerships teams to solve problems and identify trends and opportunities  Inform, influence, support, and execute our product decisions and product launches  The Data Scientist Analytics role has work across the following four areas:  Product Operations Forecasting and setting product team goals  Designing and evaluating experiments  Monitoring key product metrics, understanding root causes of changes in metrics  Building and analyzing dashboards and reports  Building key data sets to empower operational and exploratory analysis  Evaluating and defining metrics  Exploratory Analysis Proposing what to build in the next roadmap  Understanding ecosystems, user behaviors, and long-term trends  Identifying new levers to help move key metrics  Building models of user behaviors for analysis or to power production systems  Product Leadership Influencing product teams through presentation of data-based recommendations  Communicating state of business, experiment results, etc to product teams  Spreading best practices to analytics and product teams  Data Infrastructure Working in Hadoop and Hive primarily, sometimes MySQL, Oracle, and Vertica  Automating analyses and authoring pipelines via SQL and python based ETL framework  Requirements 2+ years experience doing quantitative analysis.  BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical field. Advanced degrees preferred.  Experience in SQL or other programming languages.  Development experience in at least one scripting language (PHP, Python, Perl, etc.)  Ability to initiate and drive projects to completion with minimal guidance  Ability to communicate the results of analyses in a clear and effective manner with product and leadership teams  Influence the overall strategy of the product  Basic understanding of of statistics (e.g., hypothesis testing, regressions)  Experience manipulating large data sets through statistical software (ex. R, SAS) or other methods  Experience with distributed computing (Hive/Hadoop) a plus.  Apply As part of our dedication to the diversity of our workforce, Facebook is committed to Equal Employment Opportunity without regard for race, color, national origin, ethnicity, gender, protected veteran status, disability, sexual orientation, gender identity, or religion.  If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com or you may call us at 1+650-308-7837.",false,false,a67932f350d49253,"Data Scientist, Analytics - Internet.org",37.453297,-122.18132,san+jose%2C+ca,"Responsibilities Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users...",Facebook,false,CA
8,Cupertino,Reveille technologies,US,"Wed, 16 Mar 2016 15:20:23 GMT","Data Scientist: - Candidate should have a strong background and hands on experience in machine learning and information retrieval. - Candidate should have worked on different algorithms and libraries like Time Series, Regression, EWMA, Topic Modeling, LDA, NLP Libraries, ALS, Matric Factorization, Collaborative Filtering, Regression, Random Forest - Strong experience with Big Data (min 2 years of hands-on experience working on TB to PB scale datasets) - Dataset experience in document, graph, log data, and semi-structured data - Strength in Machine Learning, Statistical Modeling, Data Mining, Pattern Recognition, Information Retrieval, Natural Language Processing, or Search Ranking - Experience using all these ML techniques: clustering, regression, classification, graphical models, mixture models, topic models, and matrix factorization - Self driven individual who can take a high-level problem and see it to completion - Knowledge of distributed computing solutions and ability to leverage them towards gaining faster insights from data. - Excellent communication and team promotion skills.Required experience:Data Scientist:: 1 year",false,true,4438dc8a975bda84,Data Scientist:,37.32143,-122.02747,san+jose%2C+ca,"Candidate should have worked on different algorithms and libraries like Time Series, Regression, EWMA, Topic Modeling, LDA, NLP Libraries, ALS, Matric...",Indeed,false,CA
9,San Jose,EBay,US,"Thu, 03 Mar 2016 03:48:17 GMT","Requisition No.: 121517BR  Subsidiary: eBay Marketplaces Primary Job Responsibilities: Do you crave technical challenges at scale and love working on a fast-paced team? Like working on high profile projects seen by millions daily? The Ads, Merch & Traffic team is seeking a talented, creative, and passionate Data Scientist, who will work closely with engineering teams, PM & analysts to cultivate a deep understanding of the ever-evolving systems, processes, and most importantly, data upon which our business runs. You should be experienced with and passionate about using data to drive strategy and product recommendations. The ideal candidate is an independent, solution-oriented thinker with a strong background processing huge data sets, applying analytical rigor and statistical methods, and driving toward insights and solutions  Job Requirements: Do you crave technical challenges at scale and love working on a fast-paced team? Like working on high profile projects seen by millions daily? The Ads, Merch & Traffic team is seeking a talented, creative, and passionate Data Scientist who will work closely with engineering teams, PM & analysts to cultivate a deep understanding of the ever-evolving systems, processes, and most importantly, data upon which our business runs. You should be experienced with and passionate about using data to drive strategy and product recommendations. The ideal candidate is an independent, solution-oriented thinker with a strong background processing huge data sets, applying analytical rigor and statistical methods, and driving toward insights and solutions.  Who are we? The Ads, Merch & Traffic team is revolutionizing the Ads & recommendations on and off eBay. Our goal is to “Create an engaging experience for users by serving contextual promotional content”, and we’re on our way. We are growing at a rapid pace and committed to building an all-star team. We are a team where people who take risks and win are rewarded and grow. Our team is ambitious and passionate; the environment is relaxed and fun. We get things done that make a difference. Last Updated: 03/02/2016",false,false,f87400e4ba147c37,Data Scientist,37.337914,-121.89011,san+jose%2C+ca,"The ideal candidate is an independent, solution-oriented thinker with a strong background processing huge data sets, applying analytical rigor and statistical...",Ebay,false,CA
